title;artist;top genre;year;bpm;energy;danceability;valence;duration;acousticness;speechiness
Time of Our Lives;Pitbull;dance pop;2014;124;80;72;72;229;9;6
Treasure;Bruno Mars;dance pop;2012;116;69;87;94;179;4;4
Wait a Minute!;WILLOW;afrofuturism;2015;101;71;76;67;197;4;3
Wannabe;Spice Girls;dance pop;1996;110;86;77;89;173;10;3
What I've Done;Linkin Park;alternative metal;2007;120;93;62;29;206;1;3
What You Know Bout Love;Pop Smoke;brooklyn drill;2021;84;55;71;54;160;65;35
Where Is The Love?;Black Eyed Peas;dance pop;2003;94;70;83;81;273;11;18
Wrecking Ball;Miley Cyrus;pop;2013;120;42;53;35;221;41;3
Young Dumb & Broke;Khalid;pop;2017;137;54;80;39;203;20;4
...Baby One More Time;Britney Spears;dance pop;1999;93;70;76;91;211;20;3
All Falls Down;Kanye West;chicago rap;2004;91;73;66;43;224;15;48
Back To Black;Amy Winehouse;british soul;2006;123;42;40;38;241;13;4
Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;pop;2021;99;68;71;72;227;4;3
Before He Cheats;Carrie Underwood;classic oklahoma country;2005;148;75;52;29;200;27;4
Best Day Of My Life;American Authors;modern rock;2014;100;90;67;54;194;6;3
Budapest;George Ezra;folk-pop;2014;128;46;72;39;201;8;3
Calling My Phone;Lil Tjay;brooklyn drill;2021;105;39;91;20;205;45;5
Chandelier;Sia;australian dance;2014;117;79;40;57;216;2;5
Complicated;Avril Lavigne;canadian pop;2002;78;78;59;43;245;6;5
Danza Kuduro;Don Omar;latin hip hop;2010;89;92;40;88;199;8;28
Dark Horse;Katy Perry;pop;2013;132;59;65;35;216;0;5
DJ Got Us Fallin' In Love (feat. Pitbull);Usher;atl hip hop;2010;120;86;66;65;221;3;11
DNA.;Kendrick Lamar;conscious hip hop;2017;140;52;64;42;186;0;36
Drag Me Down;One Direction;boy band;2015;138;70;73;60;192;11;4
Everybody Talks;Neon Trees;modern rock;2012;155;92;47;73;177;0;6
Faded;Alan Walker;electro house;2018;180;63;47;16;212;3;5
Forgot About Dre;Dr. Dre;g funk;1999;134;74;92;62;222;8;8
Gimme More;Britney Spears;dance pop;2007;113;84;79;38;251;25;3
Gold Digger;Kanye West;chicago rap;2005;93;70;63;62;208;2;35
Good Days;SZA;pop;2020;121;66;44;41;279;50;6
Goodbyes (feat. Young Thug);Post Malone;dfw rap;2019;150;65;55;16;175;46;8
Hall of Fame (feat. will.i.am);The Script;celtic rock;2012;85;87;42;63;203;7;6
Havana (feat. Young Thug);Camila Cabello;dance pop;2018;105;52;77;39;217;18;3
How to Save a Life;The Fray;neo mellow;2005;122;74;64;36;263;27;4
How You Remind Me;Nickelback;alternative metal;2001;172;76;45;54;224;0;3
I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;pop;2017;118;45;73;11;247;6;5
IDGAF;Dua Lipa;dance pop;2017;97;54;84;51;218;4;9
Just Dance;Lady Gaga;art pop;2008;119;74;82;75;242;3;3
Just the Way You Are;Bruno Mars;dance pop;2010;109;84;64;42;221;1;4
Kryptonite;3 Doors Down;alternative metal;2000;99;87;55;54;234;1;3
Little Talks;Of Monsters and Men;folk-pop;2012;103;76;46;42;267;2;3
Love;Keyshia Cole;hip pop;2005;117;52;69;32;255;6;3
Love Me Harder;Ariana Grande;pop;2014;99;71;47;24;236;1;3
Magnolia;Playboi Carti;atl hip hop;2017;163;58;79;44;182;1;29
MAMIII;Becky G;latin pop;2022;94;70;84;90;226;9;8
Mo Bamba;Sheck Wes;pop rap;2018;146;63;73;26;184;19;3
MONEY;LISA;k-pop;2021;140;55;83;40;168;16;22
More Than You Know;Axwell /\ Ingrosso;edm;2017;123;74;65;57;203;3;3
NO;Meghan Trainor;hip pop;2017;92;80;56;66;214;1;21
Numb / Encore;JAY-Z;east coast hip hop;2004;107;79;69;75;206;6;17
Perfect;One Direction;boy band;2015;100;82;65;40;230;6;8
Pon de Replay;Rihanna;barbadian pop;2005;99;64;78;50;247;0;16
Prisoner (feat. Dua Lipa);Miley Cyrus;pop;2020;128;67;78;60;169;1;5
Radioactive;Imagine Dragons;modern rock;2012;136;78;45;24;187;11;6
Ride It;Regard;pop dance;2019;118;75;88;88;158;18;9
Roar;Katy Perry;pop;2013;90;77;67;44;224;0;3
Royals;Lorde;art pop;2013;85;43;67;34;190;12;12
Rude Boy;Rihanna;barbadian pop;2009;174;75;56;81;223;11;13
Run This Town;JAY-Z;east coast hip hop;2009;87;92;63;44;268;28;29
She Will Be Loved - Radio Mix;Maroon 5;pop;2002;102;66;65;47;259;23;3
Snow (Hey Oh);Red Hot Chili Peppers;alternative rock;2006;105;90;43;60;335;12;5
Steal My Girl;One Direction;boy band;2014;77;77;54;55;228;0;3
Super Bass;Nicki Minaj;hip pop;2010;127;86;72;67;200;27;20
Take Me Out;Franz Ferdinand;alternative rock;2004;105;66;28;53;237;0;4
Temperature;Sean Paul;dance pop;2005;125;60;95;82;219;11;7
The Business;Tiësto;big room;2020;120;62;80;24;164;41;23
The Middle;Zedd;complextro;2018;107;66;75;44;185;17;4
This Is The Life;Amy Macdonald;scottish singer-songwriter;2007;95;88;63;85;184;26;3
This Love;Maroon 5;pop;2002;95;86;71;81;206;5;4
Todo De Ti;Rauw Alejandro;puerto rican pop;2021;128;72;78;34;200;31;5
Walking On A Dream;Empire of the Sun;australian dance;2008;127;70;87;72;198;26;5
WAP (feat. Megan Thee Stallion);Cardi B;pop;2020;133;45;94;36;188;2;38
We Can't Stop;Miley Cyrus;pop;2013;80;62;61;48;231;1;3
Wildest Dreams;Taylor Swift;pop;2014;140;66;55;47;220;7;7
willow;Taylor Swift;pop;2020;81;57;39;53;215;83;17
Work;Rihanna;barbadian pop;2016;92;53;73;56;219;8;9
34+35;Ariana Grande;pop;2020;110;59;83;49;174;24;9
Adventure of a Lifetime;Coldplay;permanent wave;2015;112;92;64;53;264;0;4
All Of The Lights;Kanye West;chicago rap;2010;142;80;53;22;300;8;7
Alors on danse - Radio Edit;Stromae;belgian pop;2010;120;59;79;71;206;10;8
American Idiot;Green Day;modern rock;2004;186;99;38;77;176;0;6
Bang Bang;Jessie J;dance pop;2014;150;79;71;75;199;26;9
Be Alright;Dean Lewis;australian pop;2018;127;59;55;44;196;70;4
Bleed It Out;Linkin Park;alternative metal;2007;140;97;53;60;166;11;5
boyfriend (with Social House);Ariana Grande;pop;2019;190;80;40;70;186;12;46
Can I Be Him;James Arthur;pop;2016;108;54;70;48;247;31;5
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;dance pop;2016;113;83;67;70;236;1;8
Cheap Thrills;Sia;australian dance;2016;90;70;63;73;212;5;11
Cheerleader - Felix Jaehn Remix Radio Edit;OMI;edm;2015;118;69;78;60;181;17;3
Con Calma;Daddy Yankee;latin hip hop;2019;94;86;74;66;193;11;6
Cool for the Summer;Demi Lovato;pop;2015;114;61;58;34;215;0;4
Crazy In Love (feat. Jay-Z);Beyoncé;pop;2003;99;77;65;68;236;0;23
DÁKITI;Bad Bunny;reggaeton;2020;110;57;73;14;205;40;5
Dilemma;Nelly;dance pop;2002;168;55;73;61;289;23;14
Disturbia;Rihanna;barbadian pop;2008;125;81;71;72;239;9;6
DOGTOOTH;Tyler The Creator;hip hop;2023;78;65;71;80;161;51;32
Down;Jay Sean;dance pop;2009;132;68;73;73;213;1;3
Drops of Jupiter (Tell Me);Train;dance pop;2001;79;64;48;50;260;15;3
Drowning (feat. Kodak Black);A Boogie Wit da Hoodie;melodic rap;2017;129;81;84;81;209;50;6
Exchange;Bryson Tiller;kentucky hip hop;2015;160;43;53;28;195;11;19
Faint;Linkin Park;alternative metal;2003;135;98;55;59;163;11;13
Fireflies;Owl City;indietronica;2009;180;66;51;47;228;3;4
Fluorescent Adolescent;Arctic Monkeys;garage rock;2007;112;83;65;79;184;0;3
FourFiveSeconds;Rihanna;barbadian pop;2015;206;27;58;35;188;88;5
Girl on Fire;Alicia Keys;neo soul;2012;93;71;48;14;225;14;6
Glad You Came;The Wanted;boy band;2011;127;85;72;45;198;3;6
Go Flex;Post Malone;dfw rap;2016;82;50;67;13;180;23;8
Grenade;Bruno Mars;dance pop;2010;110;56;70;25;222;15;5
Head & Heart (feat. MNEK);Joel Corry;dance pop;2020;123;87;73;91;166;17;7
Heart Attack;Demi Lovato;pop;2013;174;79;50;50;211;7;10
Hey Brother;Avicii;edm;2013;125;78;55;46;255;3;4
Hey There Delilah;Plain White T's;modern rock;2005;104;29;66;30;233;87;3
Ho Hey;The Lumineers;folk-pop;2012;80;47;68;42;163;77;3
1973;James Blunt;neo mellow;2007;123;67;72;77;280;7;3
Hold Me While You Wait;Lewis Capaldi;pop;2019;107;53;69;16;206;44;3
I Knew You Were Trouble.;Taylor Swift;pop;2012;77;47;62;68;220;0;4
I Like It;Cardi B;pop;2018;136;73;82;65;253;10;13
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;dance pop;2016;102;71;66;71;198;4;11
In My Mind;Dynoro;edm;2018;126;77;69;16;185;18;15
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;lgbtq+ hip hop;2021;150;69;74;89;212;2;7
Island In The Sun;Weezer;alternative rock;2001;115;81;65;66;200;1;3
It Wasn't Me;Shaggy;dance pop;2000;95;61;85;65;228;6;7
Just A Lil Bit;50 Cent;east coast hip hop;2005;97;69;49;53;238;3;41
Kiss Me More (feat. SZA);Doja Cat;dance pop;2021;111;70;76;74;209;24;3
Like I Can;Sam Smith;pop;2014;100;63;66;48;167;34;4
Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;hip pop;2015;108;53;63;42;225;40;4
Locked Away (feat. Adam Levine);R. City;reggae fusion;2015;118;67;51;55;227;30;7
Lonely;Akon;dance pop;2005;90;53;63;62;236;34;3
"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;indietronica;2015;190;61;26;28;253;25;5
Love Story (Taylor’s Version);Taylor Swift;pop;2021;119;79;63;42;236;13;3
Lush Life;Zara Larsson;pop;2017;98;71;69;80;201;13;5
m y . l i f e (with 21 Savage & Morray);J. Cole;conscious hip hop;2021;140;59;60;8;219;6;14
MIA;Bad Bunny;reggaeton;2018;97;54;82;16;210;1;6
My Boo;Usher;atl hip hop;2004;86;51;66;68;223;26;12
My Way;Calvin Harris;dance pop;2016;120;91;82;54;219;9;4
Nice For What;Drake;canadian hip hop;2018;93;91;59;76;211;9;7
Nonstop;Drake;canadian hip hop;2018;155;41;91;42;239;2;12
On The Floor;Jennifer Lopez;dance pop;2011;130;78;73;57;285;11;5
Oops!...I Did It Again;Britney Spears;dance pop;2000;95;83;75;89;211;30;4
Ophelia;The Lumineers;folk-pop;2016;76;57;66;57;160;61;3
P.I.M.P.;50 Cent;east coast hip hop;2003;85;77;71;85;249;5;35
Put Your Records On;Corinne Bailey Rae;british soul;2006;96;51;74;54;215;17;4
Raise Your Glass;P!nk;dance pop;2010;122;71;70;62;203;0;8
Rasputin;Majestic;uk dance;2021;128;91;76;66;186;0;11
Roses - Imanbek Remix;SAINt JHN;melodic rap;2019;122;72;77;90;177;2;5
Runaway;Kanye West;chicago rap;2010;85;57;37;11;548;22;11
Scars To Your Beautiful;Alessia Cara;canadian contemporary r&b;2015;97;74;57;45;230;3;13
Scream & Shout;will.i.am;dance pop;2013;130;69;77;50;283;2;7
SexyBack (feat. Timbaland);Justin Timberlake;dance pop;2006;117;58;97;96;243;6;8
Sing For The Moment;Eminem;detroit hip hop;2002;164;82;67;19;340;0;14
Starships;Nicki Minaj;hip pop;2012;125;72;75;75;211;14;8
Still into You;Paramore;candy pop;2013;136;92;60;77;216;1;4
Sugar We're Goin Down;Fall Out Boy;emo;2005;162;84;49;57;229;1;8
The Monster;Eminem;detroit hip hop;2013;110;85;78;62;250;5;7
The Pretender;Foo Fighters;alternative metal;2007;173;96;43;37;269;0;4
Thinkin Bout You;Frank Ocean;lgbtq+ hip hop;2012;130;34;72;20;201;41;5
Thnks fr th Mmrs;Fall Out Boy;emo;2007;155;89;46;59;204;1;6
Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;pop rap;2012;95;53;78;67;236;6;29
Tongue Tied;GROUPLOVE;indie rock;2011;113;94;56;37;218;1;4
When We Were Young;Adele;british soul;2015;144;60;38;27;291;30;5
Whistle;Flo Rida;dance pop;2012;104;94;75;74;225;2;5
Wild Ones (feat. Sia);Flo Rida;dance pop;2012;127;86;61;44;233;10;6
All The Things She Said;t.A.T.u.;dance pop;2002;90;83;60;38;214;4;4
Am I Wrong;Nico & Vinz;pop;2014;120;68;73;78;246;18;3
American Boy;Estelle;neo soul;2008;118;73;69;52;285;17;38
Bad Blood;Taylor Swift;pop;2014;170;80;65;30;212;9;18
Bank Account;21 Savage;atl hip hop;2017;75;35;88;38;220;2;35
Beautiful Girls;Sean Kingston;dance pop;2007;130;66;76;77;225;15;7
Bertaut;Nadin Amizah;indonesian pop;2020;119;13;47;12;316;93;4
Best Song Ever;One Direction;boy band;2013;118;88;65;49;200;2;5
Black and Yellow;Wiz Khalifa;hip hop;2011;164;83;68;54;218;6;7
Blame (feat. John Newman);Calvin Harris;dance pop;2014;128;86;41;35;213;3;8
Break Free;Ariana Grande;pop;2014;130;70;69;28;215;1;5
Break My Heart;Dua Lipa;dance pop;2020;113;73;73;47;222;17;9
Butter;BTS;k-pop;2022;110;46;76;70;165;0;9
Can't Tell Me Nothing;Kanye West;chicago rap;2007;80;62;60;10;272;1;4
changes;XXXTENTACION;emo rap;2018;65;31;67;52;122;88;3
Crazy;Gnarls Barkley;atl hip hop;2006;112;59;86;64;177;5;3
Dancing in the Moonlight;Toploader;british alternative rock;2000;119;86;63;87;233;6;3
Dani California;Red Hot Chili Peppers;alternative rock;2006;96;91;56;73;282;2;4
Déjala Que Vuelva (feat. Manuel Turizo);Piso 21;colombian pop;2018;170;79;68;84;220;5;8
Die Young;Kesha;dance pop;2012;128;70;71;80;212;0;5
Drive By;Train;dance pop;2012;122;84;77;72;196;0;3
Falling;Trevor Daniel;melodic rap;2020;127;43;79;24;159;12;4
Feel This Moment (feat. Christina Aguilera);Pitbull;dance pop;2012;136;76;67;54;230;4;16
Forever;Chris Brown;r&b;2008;120;82;67;44;279;4;5
FRIENDS;Marshmello;brostep;2018;95;88;63;53;203;21;5
Give It To Me;Timbaland;dance pop;2007;111;71;98;82;234;17;6
God is a woman;Ariana Grande;pop;2018;145;66;60;27;198;2;6
Good Feeling;Flo Rida;dance pop;2012;128;89;71;68;248;6;7
Good Time;Owl City;indietronica;2012;126;87;56;68;206;2;14
Hawái;Maluma;latin pop;2020;180;73;78;56;199;19;39
Headlines;Drake;canadian hip hop;2011;152;57;64;43;236;37;11
Him & I (with Halsey);G-Eazy;indie pop rap;2017;88;73;59;19;269;5;9
Hotline Bling;Drake;canadian hip hop;2016;135;63;89;55;267;0;6
How Deep Is Your Love;Calvin Harris;dance pop;2015;122;87;74;34;213;4;7
If the World Was Ending (feat. Julia Michaels);JP Saxe;alt z;2019;76;47;46;60;209;87;13
Into You;Ariana Grande;pop;2016;108;73;62;37;244;2;11
It Ain't Me (with Selena Gomez);Kygo;edm;2017;100;53;64;52;221;12;7
Kids;MGMT;alternative rock;2007;123;93;45;17;303;0;7
Kiss Me Thru The Phone;Soulja Boy;atl hip hop;2008;150;71;76;80;193;2;11
Like a Stone;Audioslave;alternative metal;2002;108;57;61;52;294;1;3
Location;Khalid;pop;2017;80;45;74;33;219;33;43
Location (feat. Burna Boy);Dave;uk hip hop;2019;110;50;81;55;241;27;30
Look Back at It;A Boogie Wit da Hoodie;melodic rap;2018;96;59;79;54;179;41;4
Love Galore (feat. Travis Scott);SZA;pop;2017;135;59;80;41;275;11;7
Love Story;Taylor Swift;pop;2008;119;74;62;31;236;13;3
Marry You;Bruno Mars;dance pop;2010;145;82;62;45;230;33;4
Me And My Broken Heart;Rixton;pop;2014;174;78;55;55;194;0;3
Meet Me At Our Spot;THE ANXIETY;modern alternative pop;2020;95;47;77;40;163;2;3
Memories (feat. Kid Cudi);David Guetta;big room;2010;130;92;55;38;211;0;26
Memories Remix (feat. Nipsey Hussle & YG);Maroon 5;pop;2021;91;40;81;70;189;86;5
Midnight City;M83;french shoegaze;2011;105;73;51;27;244;2;4
Midnight Sky;Miley Cyrus;pop;2020;110;81;70;23;223;0;3
Mirrors;Justin Timberlake;dance pop;2013;77;51;57;51;484;23;5
Money In The Grave (Drake ft. Rick Ross);Drake;canadian hip hop;2019;101;50;83;10;205;10;5
Monster;Skillet;alternative metal;2009;135;96;64;69;178;4;7
no tears left to cry;Ariana Grande;pop;2018;122;71;70;35;206;4;6
Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;pop soul;2018;114;79;60;24;217;1;7
Old Town Road - Remix;Lil Nas X;lgbtq+ hip hop;2019;136;62;88;64;157;5;10
One More Time;Daft Punk;electro;2001;123;70;61;48;320;2;13
Paper Planes;M.I.A.;escape room;2007;172;85;45;49;205;3;22
Pop Out (feat. Lil Tjay);Polo G;chicago rap;2019;168;64;77;26;167;15;47
Power Trip (feat. Miguel);J. Cole;conscious hip hop;2013;100;61;67;48;241;32;22
Psycho (feat. Ty Dolla $ign);Post Malone;dfw rap;2018;140;56;75;46;221;55;11
ROCKSTAR (feat. Roddy Ricch);DaBaby;hip hop;2020;90;69;75;50;182;25;16
Rollin' (Air Raid Vehicle);Limp Bizkit;alternative metal;2000;96;93;60;71;214;1;17
Safaera;Bad Bunny;reggaeton;2020;96;83;61;69;295;1;38
Save That Shit;Lil Peep;cloud rap;2017;106;58;53;14;232;3;3
Say My Name;Destiny's Child;dance pop;1999;138;68;71;73;271;27;10
Say So;Doja Cat;dance pop;2019;111;67;79;78;238;26;16
Scared to Be Lonely;Martin Garrix;dutch edm;2017;138;54;58;20;221;9;6
Sexy Bitch (feat. Akon);David Guetta;big room;2010;130;63;81;80;196;8;5
Shotgun;George Ezra;folk-pop;2018;116;74;67;75;201;29;5
Shower;Becky G;latin pop;2014;120;53;70;12;206;3;5
Skyfall;Adele;british soul;2012;76;55;35;8;286;42;3
So Sick;Ne-Yo;dance pop;2006;93;57;45;58;207;25;31
So What;P!nk;dance pop;2008;126;87;53;46;215;0;4
Stay;Rihanna;barbadian pop;2012;112;31;62;13;241;95;3
Sugar (feat. Francesco Yates);Robin Schulz;deep euro house;2015;123;82;64;64;219;2;6
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;canadian pop;2021;124;81;78;49;184;3;12
Supermassive Black Hole;Muse;modern rock;2006;120;92;67;78;212;5;4
Team;Lorde;art pop;2013;100;58;69;42;193;17;9
The Lazy Song;Bruno Mars;dance pop;2010;175;71;79;96;189;30;7
This Could Be Us;Rae Sremmurd;melodic rap;2015;143;69;73;76;206;29;13
This Girl (Kungs Vs. Cookin' On 3 Burners);Kungs;edm;2016;122;72;79;47;196;9;4
To the Bone;Pamungkas;indonesian pop;2019;140;73;67;94;345;51;3
Unconditionally;Katy Perry;pop;2013;129;73;43;35;229;0;4
Waves - Robin Schulz Radio Edit;Mr. Probz;tropical house;2014;120;51;83;45;208;1;4
Welcome to the Black Parade;My Chemical Romance;emo;2006;97;91;22;24;311;0;8
What Do You Mean?;Justin Bieber;canadian pop;2015;125;57;85;79;206;59;10
White Iverson;Post Malone;dfw rap;2016;130;56;68;31;257;23;4
Young Wild & Free (feat. Bruno Mars);Snoop Dogg;g funk;2011;95;66;72;53;207;5;14
A Thousand Miles;Vanessa Carlton;lilith;2002;95;83;56;27;237;32;4
Angel;Shaggy;dance pop;2000;171;77;74;81;235;12;18
Are You Gonna Be My Girl;Jet;garage rock;2003;105;95;61;54;214;0;9
Astronaut In The Ocean;Masked Wolf;australian hip hop;2021;150;70;78;47;133;18;9
Better Off Alone;Alice Deejay;bouncy house;2000;137;88;67;79;215;0;6
break up with your girlfriend i'm bored;Ariana Grande;pop;2019;170;55;73;34;190;4;9
Breaking Me;Topic;german dance;2019;122;72;79;66;167;22;22
Callaita;Bad Bunny;reggaeton;2019;176;62;61;24;251;60;31
Cheating on You;Charlie Puth;pop;2019;123;54;75;60;197;1;3
Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;san diego rap;2016;108;43;89;23;177;3;14
Clint Eastwood;Gorillaz;alternative hip hop;2001;168;69;66;53;341;3;17
Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;2010;128;87;62;47;235;3;3
Collard Greens;ScHoolboy Q;gangster rap;2014;154;57;83;65;300;3;6
Counting Stars;OneRepublic;piano rock;2014;122;71;66;48;258;7;4
Dance Dance;Fall Out Boy;emo;2005;114;96;62;45;180;1;15
Dear Maria Count Me In;All Time Low;modern rock;2007;181;90;46;57;183;1;8
Diamonds;Rihanna;barbadian pop;2012;92;71;56;39;225;0;5
Drive;Incubus;alternative metal;1999;91;79;65;67;232;6;4
Drop It Like It's Hot;Snoop Dogg;g funk;2004;92;63;89;66;266;19;22
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;canadian contemporary r&b;2014;120;38;66;43;252;39;3
Elastic Heart;Sia;australian dance;2014;130;79;42;50;257;1;5
Family Affair;Mary J. Blige;dance pop;2001;93;55;91;97;266;13;4
Feels (feat. Pharrell Williams Katy Perry & Big Sean);Calvin Harris;dance pop;2017;101;75;89;87;223;6;6
Firestone;Kygo;edm;2016;114;63;70;41;272;39;4
Get Busy;Sean Paul;dance pop;2022;100;82;74;73;212;61;4
Girls Want Girls (with Lil Baby);Drake;canadian hip hop;2021;87;44;77;38;222;18;29
Glorious (feat. Skylar Grey);Macklemore;pop rap;2017;140;79;73;36;220;3;5
Here Without You;3 Doors Down;alternative metal;2002;144;53;56;23;239;5;3
Here's Your Perfect;Jamie Miller;pop soul;2021;113;45;56;42;159;50;6
How We Do;The Game;gangster rap;2005;98;65;86;64;236;5;25
I Don't Care (with Justin Bieber);Ed Sheeran;pop;2019;102;68;80;84;220;9;4
i hate u i love u (feat. olivia o'brien);gnash;alt z;2016;93;28;49;18;251;69;30
I Miss You;blink-182;alternative metal;2003;110;71;42;59;227;0;5
Impossible;James Arthur;pop;2013;170;70;38;30;209;14;9
It Will Rain;Bruno Mars;dance pop;2011;150;84;58;48;258;34;5
It's Not Living (If It's Not With You);The 1975;modern alternative rock;2018;121;84;62;53;248;0;3
Just Can’t Get Enough;Black Eyed Peas;dance pop;2010;94;63;66;26;219;19;18
La Tortura (feat. Alejandro Sanz);Shakira;colombian pop;2005;100;78;74;81;213;3;4
Lady - Hear Me Tonight;Modjo;disco house;2001;126;81;72;87;307;1;4
Lantas;Juicy Luicy;indonesian pop;2020;86;31;59;55;234;79;3
Lean On (feat. MØ & DJ Snake);Major Lazer;dance pop;2015;98;81;72;27;177;0;6
Life Goes On;BTS;k-pop;2020;81;72;57;45;207;1;4
Life Goes On;Oliver Tree;alternative hip hop;2021;80;49;70;57;162;19;8
Love Me Again;John Newman;dance pop;2013;126;89;50;21;240;0;4
Malibu;Miley Cyrus;pop;2017;140;78;57;34;232;8;6
Mambo No. 5 (a Little Bit of...);Lou Bega;latin pop;1999;174;81;62;89;220;10;41
Me & U;Cassie;dance pop;2006;100;45;80;74;192;35;3
Me Myself & I;G-Eazy;indie pop rap;2015;112;67;76;39;251;2;10
My House;Flo Rida;dance pop;2015;94;70;69;74;192;2;5
On Top Of The World;Imagine Dragons;modern rock;2012;100;92;63;76;192;8;15
One More Night;Maroon 5;pop;2012;93;82;72;62;220;6;3
Permission to Dance;BTS;k-pop;2021;125;74;70;65;188;1;4
Physical;Dua Lipa;dance pop;2020;147;84;65;75;194;1;5
Piece Of Your Heart;MEDUZA;pop dance;2019;124;74;68;63;153;4;3
Problem;Ariana Grande;pop;2014;103;81;66;63;194;2;15
Pump It;Black Eyed Peas;dance pop;2005;154;93;65;74;213;1;18
Replay;Iyaz;dance pop;2009;91;75;71;20;182;17;7
Right Round;Flo Rida;dance pop;2009;125;67;72;71;205;1;6
Rock Your Body;Justin Timberlake;dance pop;2002;101;71;89;82;267;20;14
ROXANNE;Arizona Zervas;pop rap;2019;117;60;62;46;164;5;15
17;MK;house;2017;122;83;70;67;196;0;7
Side To Side;Ariana Grande;pop;2016;159;74;65;61;226;5;23
Sk8er Boi;Avril Lavigne;canadian pop;2002;150;90;49;48;204;0;5
SOS;Rihanna;barbadian pop;2006;137;67;68;53;239;0;4
Take A Bow;Rihanna;barbadian pop;2008;82;47;70;57;229;25;7
Taki Taki (with Selena Gomez & Ozuna & Cardi B);DJ Snake;edm;2018;96;80;84;62;213;16;23
Te Boté - Remix;Nio Garcia;reggaeton;2018;97;68;90;44;418;54;21
The Kill;Thirty Seconds To Mars;modern rock;2005;183;91;18;29;232;0;8
Tusa;KAROL G;reggaeton;2019;101;72;80;57;201;30;30
Unwritten;Natasha Bedingfield;dance pop;2004;100;80;71;63;259;1;4
Use Somebody;Kings of Leon;modern rock;2008;137;72;28;17;231;1;4
Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;pop soul;2007;106;83;70;89;219;0;6
Video Games;Lana Del Rey;art pop;2012;73;25;24;18;282;81;3
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);Shakira;colombian pop;2010;127;87;76;75;203;1;15
We Are Young (feat. Janelle Monáe);fun.;baroque pop;2012;184;64;38;74;251;2;8
When You Were Young;The Killers;alternative rock;2006;130;99;47;32;220;0;11
Who Says;Selena Gomez & The Scene;pop;2011;101;93;68;74;196;8;5
Womanizer;Britney Spears;dance pop;2008;139;70;72;24;224;7;6
Work from Home (feat. Ty Dolla $ign);Fifth Harmony;girl group;2016;105;59;80;59;214;10;4
1-800-273-8255;Logic;conscious hip hop;2017;100;57;62;36;250;57;5
21 Questions;50 Cent;east coast hip hop;2003;93;81;65;90;224;35;30
3 Nights;Dominic Fike;alternative pop rock;2018;152;52;82;88;178;22;9
Are You With Me;Lost Frequencies;belgian edm;2016;121;61;76;39;138;26;4
Barbie Girl;Aqua;bubblegum dance;1997;130;88;81;96;198;2;4
Beauty And A Beat;Justin Bieber;canadian pop;2012;128;84;60;53;228;0;6
Best of You;Foo Fighters;alternative metal;2005;130;94;37;37;256;0;7
Bleeding Love;Leona Lewis;british soul;2007;104;66;64;23;262;19;4
Blurred Lines;Robin Thicke;dance pop;2013;120;60;85;84;264;0;4
Body;Loud Luxury;edm;2017;122;76;75;58;163;5;4
Break Your Heart;Taio Cruz;dance pop;2010;122;93;61;57;202;3;3
Buy U a Drank (Shawty Snappin') (feat. Yung Joc);T-Pain;dance pop;2007;80;55;69;61;228;1;12
By the Way;Red Hot Chili Peppers;alternative rock;2002;122;97;45;20;217;3;11
California Gurls;Katy Perry;pop;2012;125;75;79;43;235;0;6
Call on Me - Radio Mix;Eric Prydz;edm;2004;126;84;60;45;171;0;38
Can't Get You out of My Head;Kylie Minogue;australian dance;2001;126;56;77;96;231;3;3
Clarity;Zedd;complextro;2012;128;78;51;18;271;4;7
Cooler Than Me - Single Mix;Mike Posner;dance pop;2010;130;82;77;63;213;18;5
Dance Monkey;Tones And I;australian pop;2021;98;59;82;51;209;69;9
DARE;Gorillaz;alternative hip hop;2005;120;89;76;97;245;2;4
Don't Call Me Up;Mabel;pop;2019;99;88;67;23;178;30;15
Don't Know Why;Norah Jones;contemporary vocal jazz;2002;89;22;75;64;186;85;3
Eastside (with Halsey & Khalid);benny blanco;pop;2018;89;68;56;32;174;56;32
Envolver;Anitta;funk pop;2021;92;74;81;40;194;15;8
Everybody (Backstreet's Back) - Radio Edit;Backstreet Boys;boy band;1997;108;85;73;61;225;4;4
F**kin' Problems (feat. Drake 2 Chainz & Kendrick Lamar);A$AP Rocky;east coast hip hop;2013;96;69;85;66;234;2;28
